,iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
2656,BRB,North America,Barbados,2020-07-20,105.0,1.0,7.0,0.0,365.381,3.48,24.359,0.0,,,,,,,,54.63,287371.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19
3062,BEL,Europe,Belgium,2020-07-20,63893.0,187.0,9800.0,0.0,5512.951999999999,16.135,845.585,0.0,,,,,,,,42.59,11589616.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,,5.64,81.63
4625,BGR,Europe,Bulgaria,2020-07-20,8733.0,95.0,300.0,1.0,1256.828,13.672,43.175,0.14400000000000002,206521.0,3155.0,29.721999999999998,0.45399999999999996,4312.0,0.621,tests performed,36.11,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,,7.454,75.05
7041,HRV,Europe,Croatia,2020-07-20,4354.0,119.0,120.0,0.0,1060.588,28.987,29.230999999999998,0.0,104132.0,1028.0,25.365,0.25,1422.0,0.34600000000000003,people tested,26.85,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,78.49
7419,CYP,Europe,Cyprus,2020-07-20,1038.0,1.0,19.0,0.0,1185.068,1.1420000000000001,21.691999999999997,0.0,,,,,,,,52.78,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98
7752,COD,Africa,Democratic Republic of Congo,2020-07-20,8402.0,79.0,193.0,1.0,93.81299999999999,0.882,2.155,0.011000000000000001,,,,,,,,80.56,89561404.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.4719999999999995,,60.68
7955,DNK,Europe,Denmark,2020-07-20,13173.0,0.0,611.0,0.0,2274.264,0.0,105.48700000000001,0.0,,,,,,,,60.19,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,80.9
11100,DEU,Europe,Germany,2020-07-20,201823.0,249.0,9086.0,2.0,2408.851,2.972,108.446,0.024,,,,,,,,39.35,83783945.0,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33
14162,IRL,Europe,Ireland,2020-07-20,25760.0,10.0,1753.0,0.0,5216.902,2.025,355.017,0.0,567819.0,8402.0,114.994,1.702,7266.0,1.472,tests performed,38.89,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3
14820,JAM,North America,Jamaica,2020-07-20,790.0,16.0,10.0,0.0,266.78700000000003,5.403,3.377,0.0,,,,,,,,64.81,2961161.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47
20432,NLD,Europe,Netherlands,2020-07-20,51670.0,144.0,6129.0,0.0,3015.488,8.404,357.69199999999995,0.0,,,,,,,,39.81,17134873.0,508.54400000000004,43.2,18.779,11.880999999999998,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28
20879,NIC,North America,Nicaragua,2020-07-20,3147.0,0.0,99.0,0.0,475.051,0.0,14.944,0.0,,,,,,,,11.11,6624554.0,51.667,27.3,5.445,3.5189999999999997,5321.444,3.2,137.016,11.47,,,,0.9,74.48
27065,SUR,South America,Suriname,2020-07-20,1029.0,28.0,21.0,1.0,1754.075,47.73,35.797,1.705,,,,,,,,86.11,586634.0,3.612,29.6,6.933,4.229,13767.118999999999,,258.314,12.54,7.4,42.9,67.779,3.1,71.68
27396,SWE,Europe,Sweden,2020-07-20,77281.0,0.0,5619.0,0.0,7652.137,0.0,556.377,0.0,,,,,,,,38.89,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,18.8,18.9,,2.22,82.8
27599,CHE,Europe,Switzerland,2020-07-20,33504.0,98.0,1687.0,0.0,3871.228,11.323,194.925,0.0,,,,,,,,36.57,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.73899999999999,5.59,22.6,28.9,,4.53,83.78
29961,USA,North America,United States,2020-07-20,3773260.0,61796.0,140534.0,415.0,11399.486,186.69299999999998,424.57099999999997,1.254,,,,,,,,57.87,331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
